127.0.0.1 - - [08/Sep/2026 00:00:11] "GET /__health HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:26] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:26] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [08/Sep/2026 00:00:26] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:28] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:28] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:29] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [08/Sep/2026 00:00:29] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:31] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:31] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:31] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [08/Sep/2026 00:00:31] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:32] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:33] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:33] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [08/Sep/2026 00:00:33] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:35] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:35] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:35] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [08/Sep/2026 00:00:35] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:36] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:36] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:37] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [08/Sep/2026 00:00:37] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:41] "GET /w/simulated-workspace/projects/simulated-project/overview?notificationFixture=1 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:41] "GET /vite.svg HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 00:00:41] "POST /api/v1/dev/auth/token HTTP/1.1" 403 -
127.0.0.1 - - [08/Sep/2026 00:00:41] "GET /api/v1/me/dashboard HTTP/1.1" 200 -
